,Team Name,Team url,University,Seeds
103,Mr Lancastic Very...,/tournaments/csgo-winter-22/teams/mr-lancastic-very-fantastic-/matches,Lancaster University,90.0
104,Peeker Capaldi,/tournaments/csgo-winter-22/teams/peeker-capaldi/matches,University of Nottingham,110.0
105,Surreys_Sloppy_Se...,/tournaments/csgo-winter-22/teams/surreyssloppyseconds/matches,University of Surrey,123.0
106,brunel baddies in...,/tournaments/csgo-winter-22/teams/brunel-baddies-in-disguise/matches,Brunel University,81.0
107,Team 215,,,
108,MMU Minotaurs 2nd,/tournaments/csgo-winter-22/teams/mmu-minotaurs-2nd/matches,Manchester Metropolitan University,75.0
109,Swansea Storm Red,/tournaments/csgo-winter-22/teams/swansea-storm-red/matches,Swansea University,114.0
110,CS Roe,/tournaments/csgo-winter-22/teams/cs-roe/matches,Roehampton University,105.0
111,Reading Knights 1st,/tournaments/csgo-winter-22/teams/reading-knights-1st/matches,University of Reading,77.0
112,UWL Wyverns,/tournaments/csgo-winter-22/teams/uwl-wyverns/matches,University of West London,91.0
113,SalfordShurikens,/tournaments/csgo-winter-22/teams/salfordshurikens/matches,University of Salford,111.0
114,Cardiff Peek,/tournaments/csgo-winter-22/teams/cardiff-peek/matches,Cardiff University,89.0
115,Portsmouth Panthers,/tournaments/csgo-winter-22/teams/portsmouth-panthers/matches,University of Portsmouth,122.0
116,Brist0l Bakas,/tournaments/csgo-winter-22/teams/brist0l-bakas/matches,University of Bristol,88.0
117,Soton Stinkers,/tournaments/csgo-winter-22/teams/soton-stinkers/matches,University of Southampton,128.0
118,Barn Boys,/tournaments/csgo-winter-22/teams/barn-boys/matches,University of Leeds,119.0
119,CES Hydras,/tournaments/csgo-winter-22/teams/ces-hydras/matches,"City, University of London",65.0
120,Colossal Cubs,/tournaments/csgo-winter-22/teams/colossal-cubs/matches,"Royal Holloway, University of London",86.0
121,Team 243,,,
122,Teesside Leftovers,/tournaments/csgo-winter-22/teams/teesside-leftovers/matches,Teesside University,121.0
123,Durham Disasters,/tournaments/csgo-winter-22/teams/durham-disasters/matches,Durham University,130.0
