University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends,Fortnite
Newcastle University,479.13518102149015,97.61547886755464,50.90476190476191,,98.0111111111111,121.1315789473684,70.62242562929062,25.183157894736844,15.666666666666666
University of Sussex,465.78541794893925,123.05555555555556,,51.18181818181818,37.30130718954248,136.5099573257468,61.72768878718536,56.00909090909091,
Keele University,461.4214533024747,61.52777777777778,,,51.25686274509803,52.5099573257468,164.13393878718534,120.32625,11.666666666666666
Roehampton University,450.9846098103451,61.52777777777778,,,121.35686274509804,15.37837837837838,110.40625,142.3153409090909,
University of Liverpool,446.8794819338357,173.15277777777777,54.90476190476191,21.2,30.323529411764707,15.37837837837838,111.30098684210526,40.61904761904762,
Bournemouth University,436.29493506515564,123.05555555555556,106.4,,60.64705882352941,15.37837837837838,110.40625,20.407692307692308,
University of Plymouth,417.4404348766891,135.8590425531915,4.0,1.5,98.0111111111111,99.3783783783784,42.18421052631579,36.50769230769231,
"City, University of London",396.59256476924156,11.853658536585366,50.90476190476191,5.2,98.0111111111111,84.0,102.40625,44.21678321678321,
Coventry University,389.8930484082145,,54.90476190476191,,121.35686274509804,37.13157894736842,19.543478260869566,146.62303321678323,10.333333333333332
De Montfort University,374.1608115590394,24.23404255319149,4.0,,98.0111111111111,,102.40625,145.50940789473685,
University of Leicester,369.03657838445764,24.23404255319149,50.90476190476191,,60.64705882352941,,130.84446510297482,102.40625,
University of Surrey,362.4417769842003,11.853658536585366,,,111.96666666666664,136.07837837837835,61.72768878718536,40.815384615384616,
Heriot-Watt University,353.43472669598094,24.23404255319149,106.4,,0.0,99.3783783783784,42.18421052631579,81.23809523809524,
Manchester Metropolitan University,347.9881409226009,171.94674364296836,16.95,,128.33464052287582,30.75675675675676,,,
University of Edinburgh,334.2693414055172,61.52777777777778,157.3047619047619,,30.323529411764707,37.13157894736842,47.9816933638444,,
Sheffield Hallam University,333.3020802052539,24.23404255319149,,51.18181818181818,128.33464052287582,37.13157894736842,59.97368421052632,32.44631578947369,
Queen Mary University of London,315.4898654321255,61.52777777777778,,,172.61372549019612,37.13157894736842,,44.21678321678321,
"Royal Holloway, University of London",305.6578861369109,111.625,106.4,5.2,37.30130718954248,37.13157894736842,8.0,,
Brunel University,302.17800900278456,24.23404255319149,,,171.63464052287583,30.75675675675676,19.543478260869566,56.00909090909091,
University of Reading,291.1468205642119,,50.90476190476191,,141.31111111111113,15.37837837837838,27.543478260869566,56.00909090909091,
