University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends
University of Sussex,390.0798979310392,108.69010346378768,,60.583333333333336,22.81188118811881,95.4390243902439,85.0,17.555555555555557
Bournemouth University,386.0055242860121,51.30769230769231,59.04166666666666,,77.72222222222223,40.97560975609756,130.625,26.333333333333336
"City, University of London",381.1607529478361,,59.04166666666666,19.6,118.4789603960396,40.97560975609756,85.0,58.064516129032256
Roehampton University,380.7110954763394,25.653846153846157,,,77.72222222222223,13.48780487804878,161.29166666666666,102.55555555555554
Brunel University,367.87132853347674,25.653846153846157,,,164.94403190319034,54.463414634146346,,122.8100358422939
University of Leicester,343.1883621054413,25.653846153846157,59.04166666666666,,46.46507150715072,,127.02777777777776,85.0
"Royal Holloway, University of London",328.87509138995955,71.94736842105263,121.625,7.0,22.81188118811881,54.463414634146346,13.217391304347826,37.81003584229391
University of Reading,307.79429102815186,,59.04166666666666,,126.08292079207922,40.97560975609756,43.88405797101449,37.81003584229391
Manchester Metropolitan University,305.42574032015625,119.77899235267655,14.6,,116.58333333333334,54.463414634146346,,
University of Plymouth,304.4602562717514,97.6012145748988,,1.5,46.46507150715072,54.463414634146346,85.0,19.43055555555556
Liverpool John Moores University,290.8605069989758,11.088888888888889,,,164.94403190319034,,85.0,29.82758620689655
University of Salford,270.389324632308,25.653846153846157,,,7.603960396039604,54.463414634146346,160.875,21.79310344827586
Oxford University,265.0029756320113,150.40384615384616,,,7.603960396039604,,13.217391304347826,93.77777777777776
University of Cambridge,261.51583620410156,71.94736842105263,,7.0,7.603960396039604,106.48780487804878,30.666666666666668,37.81003584229391
University of Abertay Dundee,253.3262145748988,97.6012145748988,14.6,,110.875,,30.25,
Teesside University,249.39268967068423,108.69010346378768,,,110.875,,,29.82758620689655
Coventry University,249.21313390021703,11.088888888888889,61.32738095238095,,46.46507150715072,40.97560975609756,30.666666666666668,58.689516129032256
University of Hull,232.3121021584917,135.8388888888889,59.04166666666666,,7.603960396039604,,,29.82758620689655
Queen Mary University of London,228.0779680998724,25.653846153846157,,,131.79125412541256,40.97560975609756,,29.657258064516128
University of Strathclyde,214.481218547024,71.94736842105263,,,46.46507150715072,54.463414634146346,11.77777777777778,29.82758620689655
Glasgow Caledonian University,210.17632881709224,71.94736842105263,,,7.603960396039604,130.625,,
University of Derby,203.25780654988574,25.653846153846157,,,7.603960396039604,,85.0,85.0
University of Edinburgh,201.68063852820552,25.653846153846157,73.64166666666667,,7.603960396039604,40.97560975609756,53.80555555555556,
Birmingham City University,196.52370878350692,47.83162393162393,,,38.86111111111112,40.97560975609756,30.25,29.82758620689655
Birmingham City University,196.52370878350692,47.83162393162393,,,38.86111111111112,40.97560975609756,30.25,8.777777777777779
University of the Arts London,169.97510734944464,11.088888888888889,121.625,,7.603960396039604,,,29.657258064516128
FXU (Falmouth &amp; Exeter Student's Union),151.2701459152149,58.92051282051282,,,7.603960396039604,54.463414634146346,,30.282258064516128
Leeds Beckett University,141.05847953216374,71.94736842105263,,,38.86111111111112,,30.25,
London School of Economics,137.3489159891599,,,,38.86111111111112,13.48780487804878,,85.0
University of Essex,133.5858604845447,83.03625730994152,2.2857142857142856,,38.86111111111112,,,9.40277777777778
podbotsasdas,130.625,,,,,130.625,,
Aberystwyth University,129.15435827402368,25.653846153846157,,,7.603960396039604,,85.0,10.89655172413793
Northumbria University,127.66343132150534,11.088888888888889,2.2857142857142856,,38.86111111111112,40.97560975609756,23.55555555555556,10.89655172413793
University of Westminster,112.47062706270626,11.088888888888889,,,7.603960396039604,,,93.77777777777776
"Goldsmiths, University of London",110.875,,,,110.875,,,
University of Hertfordshire,109.49397893172481,,,,38.86111111111112,40.97560975609756,,29.657258064516128
University of Chichester,101.94391766099687,25.653846153846157,29.2,,46.46507150715072,,,0.625
University of Dundee,99.8869288606131,97.6012145748988,2.2857142857142856,,0.0,,,
University of Northampton,85.94186452090025,36.74273504273504,,19.6,7.603960396039604,,13.217391304347826,8.777777777777779
