,Team Name,Team url,University
50,D3fenceless Durham,/tournaments/rocket-league-winter-22-north/teams/d3fenceless-durham/matches,Durham University
51,Happier Happy...,/tournaments/rocket-league-winter-22-north/teams/happier-happy-mega-friends/matches,University of Lincoln
52,Ez4Edinburgh,/tournaments/rocket-league-winter-22-north/teams/ez4edinburgh/matches,University of Edinburgh
53,Strathers A,/tournaments/rocket-league-winter-22-north/teams/strathers-a/matches,University of Strathclyde
54,Northumbria Noodles,/tournaments/rocket-league-winter-22-north/teams/northumbria-noodles/matches,Northumbria University
55,Own Goalers,/tournaments/rocket-league-winter-22-north/teams/own-goalers/matches,University of Sheffield
56,Elevated Fennec,/tournaments/rocket-league-winter-22-north/teams/elevated-fennec/matches,University of Birmingham
57,QUB RAMS,/tournaments/rocket-league-winter-22-north/teams/qub-rams/matches,Queen's University Belfast
58,Durham Demons,/tournaments/rocket-league-winter-22-north/teams/durham-demons/matches,Durham University
59,QUB Queen Bees,/tournaments/rocket-league-winter-22-north/teams/qub-queen-bees/matches,Queen's University Belfast
60,Team 121,,
61,Sheffield Saints,/tournaments/rocket-league-winter-22-north/teams/sheffield-saints/matches,Sheffield Hallam University
62,Strathers C,/tournaments/rocket-league-winter-22-north/teams/strathers-c/matches,University of Strathclyde
63,Manchester...,/tournaments/rocket-league-winter-22-north/teams/manchester-stinker-motorsports/matches,University of Manchester
64,UoL Arctic Foxes A,/tournaments/rocket-league-winter-22-north/teams/uol-arctic-foxes-a/matches,University of Liverpool
65,HullPoint,/tournaments/rocket-league-winter-22-north/teams/hullpoint/matches,University of Hull
66,TrentyFour 7,/tournaments/rocket-league-winter-22-north/teams/trentyfour-7/matches,Nottingham Trent University
67,Edinballers,/tournaments/rocket-league-winter-22-north/teams/edinballers/matches,University of Edinburgh
68,Glasgow FD,/tournaments/rocket-league-winter-22-north/teams/glasgow-fd/matches,University of Glasgow
69,QUB Dynasty,/tournaments/rocket-league-winter-22-north/teams/qub-dynasty/matches,Queen's University Belfast
70,GirlfriendLeic,/tournaments/rocket-league-winter-22-north/teams/girlfriendleic/matches,University of Leicester
71,University of...,/tournaments/rocket-league-winter-22-north/teams/university-of-stirling/matches,University of Stirling
72,Manchester Maneaters,/tournaments/rocket-league-winter-22-north/teams/manchester-maneaters/matches,University of Manchester
73,Huddersfield...,/tournaments/rocket-league-winter-22-north/teams/huddersfield-hounds-team-1/matches,University of Huddersfield
74,Newcastle Noobs,/tournaments/rocket-league-winter-22-north/teams/newcastle-noobs/matches,Newcastle University
75,Lboro Echos,/tournaments/rocket-league-winter-22-north/teams/lboro-echos/matches,Loughborough University
76,Broom Broom,/tournaments/rocket-league-winter-22-north/teams/broom-broom/matches,University of Lincoln
77,Hallam Hawks,/tournaments/rocket-league-winter-22-north/teams/hallam-hawks/matches,Sheffield Hallam University
78,50 Trent,/tournaments/rocket-league-winter-22-north/teams/50-trent/matches,Nottingham Trent University
79,Peter Gryphons,/tournaments/rocket-league-winter-22-north/teams/peter-gryphons/matches,University of Leeds
80,Team 161,,
81,Salford Lions OW,/tournaments/rocket-league-winter-22-north/teams/garfield-kart-is-better/matches,University of Salford
82,Liverpool Arctic...,/tournaments/rocket-league-winter-22-north/teams/liverpool-arctic-foxes-b/matches,University of Liverpool
83,Lankers C_hamps,/tournaments/rocket-league-winter-22-north/teams/lankers-champs/matches,Lancaster University
84,SuperCali,/tournaments/rocket-league-winter-22-north/teams/supercali/matches,Glasgow Caledonian University
85,Cookies,/tournaments/rocket-league-winter-22-north/teams/cookies/matches,Northumbria University
86,team number q,/tournaments/rocket-league-winter-22-north/teams/team-number-q/matches,York St John University
87,Durham Traffic...,/tournaments/rocket-league-winter-22-north/teams/durham-traffic-lights/matches,Durham University
88,five2manny,/tournaments/rocket-league-winter-22-north/teams/five2manny/matches,University of Manchester
89,Air Roll Awkward,/tournaments/rocket-league-winter-22-north/teams/air-roll-awkward/matches,University of Birmingham
90,Trentalicious,/tournaments/rocket-league-winter-22-north/teams/trentalicious/matches,Nottingham Trent University
91,Team 183,,
92,Keele Krakens D,/tournaments/rocket-league-winter-22-north/teams/keele-krakens-d/matches,Keele University
93,Liverpool Team B,/tournaments/rocket-league-winter-22-north/teams/liverpool-team-b/matches,University of Liverpool
94,Match #87527 Winner,,
